method,OTUs,proportion
wHC(AR),610,4
wHC(AR),621,7
wHC(AR),64,6
wHC(AR),648,5
wHC(AR),663,8
wHC(AR),67,13
wHC(AR),671,3
wHC(AR),69,5
wHC(AR),711,620
wHC(AR),72,7
wHC(AR),722,4
wHC(AR),726,2
wHC(AR),74,2
wHC(AR),747,6
wHC(AR),752,4
wHC(AR),755,6
wHC(AR),774,5
wHC(AR),775,5
wHC(AR),818,5
wHC(AR),821,2
wHC(AR),842,10
wHC(AR),844,15
wHC(AR),847,9
wHC(AR),85,5
wHC(AR),854,3
wHC(AR),859,5
wHC(AR),865,6
wHC(AR),871,25
wHC(AR),880,3
wHC(AR),89,3
wHC(AR),890,6
wHC(AR),895,6
wHC(AR),90,7
wHC(AR),905,10
wHC(AR),908,11
wHC(AR),910,10
wHC(AR),923,10
wHC(AR),928,9
wHC(AR),937,10
wHC(AR),956,7
wHC(AR),985,1
wHC(EX),110,2
wHC(EX),116,5
wHC(EX),121,2
wHC(EX),127,13
wHC(EX),13,3
wHC(EX),135,2
wHC(EX),141,8
wHC(EX),143,7
wHC(EX),153,6
wHC(EX),158,6
wHC(EX),159,5
wHC(EX),165,5
wHC(EX),166,5
wHC(EX),178,7
wHC(EX),209,3
wHC(EX),212,4
wHC(EX),217,1
wHC(EX),223,5
wHC(EX),224,4
wHC(EX),23,6
wHC(EX),236,5
wHC(EX),277,703
wHC(EX),278,4
wHC(EX),286,8
wHC(EX),290,6
wHC(EX),291,6
wHC(EX),294,14
wHC(EX),308,9
wHC(EX),309,7
wHC(EX),316,4
wHC(EX),330,2
wHC(EX),34,4
wHC(EX),362,8
wHC(EX),373,7
wHC(EX),374,7
wHC(EX),39,4
wHC(EX),409,3
wHC(EX),41,6
wHC(EX),424,5
wHC(EX),456,8
wHC(EX),463,12
wHC(EX),477,12
wHC(EX),480,14
wHC(EX),483,4
wHC(EX),490,4
wHC(EX),51,6
wHC(EX),516,7
wHC(EX),528,6
wHC(EX),537,7
wHC(EX),544,5
wHC(EX),555,12
wHC(EX),575,5
wHC(EX),581,4
wHC(EX),588,6
wHC(EX),590,11
wHC(EX),593,10
wHC(EX),598,6
wHC(EX),606,6
wHC(EX),610,8
wHC(EX),621,5
wHC(EX),64,9
wHC(EX),648,4
wHC(EX),663,9
wHC(EX),67,15
wHC(EX),671,4
wHC(EX),69,6
wHC(EX),711,709
wHC(EX),72,4
wHC(EX),722,3
wHC(EX),726,3
wHC(EX),74,6
wHC(EX),747,4
wHC(EX),752,4
wHC(EX),755,9
wHC(EX),774,5
wHC(EX),775,1
wHC(EX),818,4
wHC(EX),821,1
wHC(EX),842,6
wHC(EX),844,3
wHC(EX),847,15
wHC(EX),85,6
wHC(EX),854,1
wHC(EX),859,4
wHC(EX),865,6
wHC(EX),871,5
wHC(EX),880,9
wHC(EX),89,2
wHC(EX),890,8
wHC(EX),895,6
wHC(EX),90,7
wHC(EX),905,6
wHC(EX),908,9
wHC(EX),910,11
wHC(EX),923,3
wHC(EX),928,4
wHC(EX),937,6
wHC(EX),956,12
wHC(EX),985,2
wHC(EX),431,0
wHC(IN),110,2
wHC(IN),116,4
wHC(IN),121,2
wHC(IN),127,8
wHC(IN),13,2
wHC(IN),135,1
wHC(IN),141,6
wHC(IN),143,4
wHC(IN),153,5
wHC(IN),158,6
wHC(IN),159,3
wHC(IN),165,4
wHC(IN),166,7
wHC(IN),178,11
wHC(IN),209,3
wHC(IN),212,5
wHC(IN),217,1
wHC(IN),223,6
wHC(IN),224,4
wHC(IN),23,7
wHC(IN),236,3
wHC(IN),277,717
wHC(IN),278,5
wHC(IN),286,7
wHC(IN),290,5
wHC(IN),291,7
wHC(IN),294,18
wHC(IN),308,9
wHC(IN),309,5
wHC(IN),316,5
wHC(IN),330,4
wHC(IN),34,2
wHC(IN),362,10
wHC(IN),373,4
wHC(IN),374,10
wHC(IN),39,4
wHC(IN),409,2
wHC(IN),41,6
wHC(IN),424,3
wHC(IN),431,1
wHC(IN),456,8
wHC(IN),463,13
wHC(IN),477,10
wHC(IN),480,12
wHC(IN),483,5
wHC(IN),490,6
wHC(IN),51,6
wHC(IN),516,4
wHC(IN),528,3
wHC(IN),537,8
wHC(IN),544,5
wHC(IN),555,4
wHC(IN),575,3
wHC(IN),581,4
wHC(IN),588,7
wHC(IN),590,5
wHC(IN),593,4
wHC(IN),598,5
wHC(IN),606,8
wHC(IN),610,11
wHC(IN),621,3
wHC(IN),64,6
wHC(IN),648,5
wHC(IN),663,10
wHC(IN),67,11
wHC(IN),671,5
wHC(IN),69,5
wHC(IN),711,746
wHC(IN),72,5
wHC(IN),722,4
wHC(IN),726,2
wHC(IN),74,6
wHC(IN),747,5
wHC(IN),752,3
wHC(IN),755,7
wHC(IN),774,5
wHC(IN),775,3
wHC(IN),818,3
wHC(IN),821,2
wHC(IN),842,3
wHC(IN),847,11
wHC(IN),85,8
wHC(IN),854,2
wHC(IN),859,8
wHC(IN),865,4
wHC(IN),871,4
wHC(IN),880,7
wHC(IN),89,4
wHC(IN),890,8
wHC(IN),895,8
wHC(IN),90,7
wHC(IN),905,4
wHC(IN),908,11
wHC(IN),910,10
wHC(IN),923,3
wHC(IN),928,3
wHC(IN),937,2
wHC(IN),956,6
wHC(IN),985,2
wHC(IN),844,0
